timestamp,position_x,position_y,position_z,orientation_x,orientation_y,orientation_z,orientation_w
1763658738.3926544,767056.3963990512,3403836.152720213,87.29691829532385,0.017157243397120235,-0.008763686545240793,-0.9264417844844716,-0.37594473896887665
1763658738.4041812,767056.254772804,3403836.2843758212,87.29230077378452,0.01713042853857412,-0.008840797919428149,-0.9263916724703267,-0.3760676240888909
1763658738.4126782,767056.1133041044,3403836.4158395766,87.28745458740741,0.017312891919915283,-0.00893212693960864,-0.9263470683732332,-0.37616697063673793
1763658738.4229693,767055.9716796048,3403836.5474927104,87.28283380903304,0.017158566043276383,-0.008797977996054886,-0.9263115398850691,-0.3762646811358617
1763658738.4327555,767055.8302408762,3403836.6791730565,87.27797129750252,0.017481558899883346,-0.008892490073496965,-0.9262557584092097,-0.37638489440000406
1763658738.4448338,767055.688728699,3403836.810806729,87.2732372963801,0.01713589634971588,-0.008614214905740925,-0.9262306979534328,-0.3764689237195367
1763658738.452749,767055.5472108757,3403836.942617788,87.26849267166108,0.017306573168485245,-0.008693093992429634,-0.9261671224766298,-0.37661568459818856
1763658738.4626558,767055.4057637164,3403837.074314774,87.26365328580141,0.01730506605231388,-0.00864035169225715,-0.9261241984304089,-0.37672250807881363
1763658738.4726217,767055.264208196,3403837.2061663037,87.25902943126857,0.017082761384231735,-0.008565223791265078,-0.9260717486745679,-0.37686328092787563
1763658738.4839354,767055.1228112832,3403837.3380268593,87.25429865717888,0.01723555140256309,-0.008648011112722127,-0.9260138684470232,-0.37699663541658207
1763658738.4926147,767054.9813143816,3403837.469915466,87.24975637160242,0.017056777301346998,-0.008530095891128842,-0.9259740990339631,-0.37710512026545145
1763658738.5036664,767054.839934299,3403837.601959333,87.24518880713731,0.017207099003433417,-0.00868847995579395,-0.9259048533729901,-0.37726466646147194
1763658738.5126703,767054.6985098138,3403837.7339252136,87.24064659513533,0.017215533482935683,-0.008644264277779201,-0.9258656651737558,-0.3773614608758459
1763658738.5229125,767054.5570608048,3403837.8660558467,87.23617008980364,0.017203593755389816,-0.008678115761175286,-0.9257996194586888,-0.377523232767047
1763658738.5330124,767054.4157165191,3403837.998125864,87.23147652670741,0.017436110821404314,-0.008683054140452142,-0.925743050654449,-0.3776511495748587
1763658738.5479429,767054.2742851983,3403838.1303225523,87.22694948595017,0.017345929504266076,-0.008572465949290446,-0.9256905384351454,-0.3777865251816584
1763658738.552824,767054.1329891747,3403838.262510342,87.22223560325801,0.017441815022503016,-0.008630259151786444,-0.9256171667701107,-0.3779605300771059
1763658738.5627377,767053.9915725063,3403838.3947183257,87.21766167040914,0.01730298238019983,-0.008464826552793967,-0.9255685482294447,-0.3780896931160908
1763658738.5726128,767053.8502276791,3403838.527054943,87.21295029390603,0.017386223531734038,-0.008525793849686457,-0.9254875257461528,-0.37828279072514176
1763658738.582609,767053.7089267805,3403838.6593195037,87.2082182681188,0.017253321237764498,-0.008410482214572738,-0.9254282903386202,-0.3784363435719719
1763658738.5925593,767053.5675355548,3403838.7917561615,87.20369416289032,0.01721329849750699,-0.008458436912366505,-0.9253463614165103,-0.3786373840669464
1763658738.6034703,767053.4263009024,3403838.9241431006,87.1990303331986,0.017295333443207512,-0.008516397733068472,-0.9252612474233393,-0.378840291451882
1763658738.6126947,767053.2849497448,3403839.0566571434,87.19452460762113,0.017269221243538083,-0.008438727082788929,-0.9251884347394793,-0.37902100483637624
1763658738.6225545,767053.1437692967,3403839.1892705373,87.18983286153525,0.017362411123922047,-0.008511137868213784,-0.9251012954409863,-0.37922776847899897
1763658738.6327388,767053.0025663357,3403839.321846702,87.1852267542854,0.01720402487255289,-0.008395790855164557,-0.9250431987940768,-0.3793792463866774
1763658738.6426146,767052.8613603511,3403839.4545915835,87.18066220544279,0.01718956176951729,-0.008504268944155336,-0.9249504566736492,-0.3796035419685986
1763658738.652594,767052.720230727,3403839.5873146025,87.17594075389206,0.017286156940140192,-0.008524150519394265,-0.9248761966104582,-0.3797796052706576
1763658738.6626043,767052.5790650306,3403839.72019531,87.17130138352513,0.017158199033151356,-0.008505914639089757,-0.924791969562641,-0.3799908665409507
1763658738.6757877,767052.4380339923,3403839.853091401,87.1665412588045,0.017128335516669244,-0.00850500379195248,-0.9247059293868747,-0.3802015638969462
1763658738.6825297,767052.2969156755,3403839.986037659,87.16201623249799,0.016973752205027236,-0.008403894764975687,-0.9246329715073422,-0.3803881363691091
1763658738.692758,767052.1559704198,3403840.119100781,87.15733931958675,0.017092144812957177,-0.008522948527927968,-0.9245315862211929,-0.38062654139380214
1763658738.7035067,767052.0150320159,3403840.2521573077,87.15273039229214,0.0169353840883376,-0.008394189931277714,-0.9244694064547889,-0.3807874037705397
1763658738.7126927,767051.8741095043,3403840.385419734,87.14816076960415,0.016978265687725213,-0.008526455979327172,-0.9243739526873378,-0.3810142171046339
1763658738.7225876,767051.7333072759,3403840.518617367,87.1435378883034,0.016864764211846447,-0.008509029405569551,-0.924300070639195,-0.3811988399287605
1763658738.7325914,767051.592390605,3403840.652028338,87.13909294363111,0.01692473718871098,-0.008594711711177986,-0.9242161269083169,-0.3813977385411259
1763658738.7426772,767051.4516798307,3403840.7854655418,87.13441709801555,0.0169475627668469,-0.008704671803398845,-0.9241319720935708,-0.3815980961161975
1763658738.7527132,767051.3108969844,3403840.9189911317,87.12992795184255,0.016717390430424056,-0.008626223296956323,-0.9240667410238863,-0.38176795997349194
1763658738.762623,767051.1702735882,3403841.0526385726,87.12535365391523,0.016855333621781397,-0.008815436813263522,-0.9239713036499904,-0.38198850222700076
1763658738.7729003,767051.0296917219,3403841.18629774,87.1208312548697,0.016646711221244483,-0.008772317154941435,-0.9239061805956446,-0.38215612374318664
1763658738.7877195,767050.8891047855,3403841.3201742694,87.11638811137527,0.01671256914227973,-0.008953856649956762,-0.9238198448434018,-0.38235770262578644
1763658738.7956958,767050.7486121159,3403841.453927839,87.11178889963776,0.016649472032355034,-0.0090321140441982,-0.9237519534834424,-0.3825226064332149
1763658738.8038146,767050.6080474118,3403841.5879118126,87.10735384188592,0.016571299467760668,-0.009085661654775876,-0.923677550298574,-0.38270435829850463
1763658738.8125296,767050.4677166285,3403841.721900924,87.10277210734785,0.016628929207702196,-0.009219531206899858,-0.9236002839569291,-0.38288509298797513
1763658738.8226907,767050.3273297285,3403841.8559787343,87.0983703630045,0.01633484352094626,-0.009221014698783756,-0.9235410346888766,-0.3830406023137364
1763658738.8325994,767050.1870118487,3403841.9902416663,87.09388296306133,0.016449518280061342,-0.009494575739170187,-0.9234536625021555,-0.3832396111980623
1763658738.8428853,767050.0467819278,3403842.124429354,87.08930769748986,0.01630542658887045,-0.009571407807685405,-0.9233936645120242,-0.383388395175688
1763658738.8530004,767049.9065290706,3403842.2588902595,87.0847903965041,0.016147035800093176,-0.009744045665606042,-0.9233146915983825,-0.383580900316375
1763658738.862852,767049.7664230312,3403842.393283874,87.08019115962088,0.016139322897985066,-0.009897521713689461,-0.9232487677155103,-0.38373594336745825
1763658738.8728359,767049.6262583986,3403842.5278254924,87.07580778282136,0.01592163379687493,-0.009948692135950064,-0.9231843463295226,-0.3838986686537926
1763658738.8877263,767049.4862193915,3403842.66244939,87.07131416071206,0.01599448757735547,-0.010138915781257625,-0.9231063397135579,-0.38407820080623667
1763658738.8925364,767049.3461971263,3403842.7971072737,87.06683181598783,0.015896970121989366,-0.010218116264459435,-0.9230531039475091,-0.38420807348859204
1763658738.9034908,767049.2061950311,3403842.9319063644,87.0622790241614,0.015739351186142975,-0.010399808113226001,-0.9229828231339567,-0.38437849187372397
1763658738.9125998,767049.0662449719,3403843.066715102,87.05773417465389,0.015635739141539002,-0.010585813254825946,-0.9229283041835477,-0.3845085298873257
1763658738.9225564,767048.9263256325,3403843.2015820798,87.05328943673521,0.015392304345467782,-0.0108143547229982,-0.9228587114581466,-0.38467899004841816
1763658738.9329283,767048.7864983925,3403843.3364958335,87.04873403906822,0.015342512425915895,-0.011124514270119646,-0.922785953315634,-0.38484664069999525
1763658738.9427109,767048.6466299207,3403843.4714849917,87.04430853296071,0.015053987322927858,-0.011261960547003635,-0.9227255392673914,-0.38499886349705065
1763658738.9528944,767048.5068475014,3403843.606600717,87.03985293861479,0.015000541445627895,-0.011532266148530783,-0.9226498587779257,-0.38517428352745886
1763658738.96302,767048.3670990013,3403843.741741135,87.03548571001738,0.014726736101202838,-0.011678690356455787,-0.9225927104285605,-0.38531730054520774
1763658738.972647,767048.227355452,3403843.8770418484,87.03115592617542,0.014713356481391947,-0.012030292845509149,-0.9225142115022427,-0.38549490109662693
1763658738.983763,767048.087751467,3403844.012275404,87.02671477664262,0.014715746932048912,-0.012306147056936034,-0.9224516384898243,-0.38563581289123494
1763658738.9926436,767047.9481058931,3403844.1476901267,87.02242410928011,0.014440552614664513,-0.01248042259662089,-0.9223847970331905,-0.3858004609821413
1763658739.0051386,767047.8085406485,3403844.2831487907,87.01795873139054,0.014525102000520132,-0.012754242342359254,-0.9223085527092718,-0.385970574414003
1763658739.012854,767047.6689440962,3403844.4186638985,87.01359160244465,0.014214213612435543,-0.01279238930977021,-0.9222446439462958,-0.38613356189212206
1763658739.0263562,767047.5294574667,3403844.554362421,87.00914716348052,0.014319872304153526,-0.012974334357350245,-0.9221639524943614,-0.3863162598508556
1763658739.032966,767047.3899781234,3403844.689957779,87.00476413499564,0.014004063623698871,-0.012949222399953417,-0.9221034254335299,-0.3864731253852082
1763658739.0428185,767047.2506131821,3403844.825850522,87.00051595643163,0.014032838256530672,-0.013145155623995802,-0.9220198413794398,-0.3866648373420058
